"text"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 主做市商对基准做市品种开展持续做市业务（以下简称基准做市业务）。
</s><s>Assistant: 操作人:主做市商,交易品种:基准做市品种,操作:开展,操作部分:持续做市业务,value:基准做市业务
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 一般做市商对其自行选定的做市品种在一定时期内开展做市业务（以下简称一般做市业务）。
</s><s>Assistant: 操作人:一般做市商,交易品种:其自行选定的做市品种,时间:一定时期内,操作:开展,操作部分:做市业务,value:一般做市业务
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 主做市商可以开展一般做市业务。
</s><s>Assistant: 操作人:主做市商,结果:可以,操作:开展,操作部分:一般做市业务
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 除本所另有规定外，本所对不同交易方式下的债券交易时间安排如下：(一)采用匹配成交方式的，每个交易日的9:15至9:25为开盘集合匹配时间，9:30至11:30、13:00至15:30为连续匹配时间；(二)采用点击成交、询价成交和协商成交方式的，交易时间为每个交易日的9:00至11:30、13:00至20:00；(三)采用竞买成交方式的，每个交易日的9:00至10:00为卖方提交竞买发起申报时间，10:00至11:30为应价方提交应价申报时间。
</s><s>Assistant: 系统:本所,系统:本所,交易品种:债券,交易方式:匹配成交,时间:每个交易日的9:15至9:25,key:开盘集合匹配时间,时间:9:30至11:30、13:00至15:30,key:连续匹配时间,交易方式:点击成交,交易方式:询价成交,交易方式:协商成交,key:交易时间,时间:每个交易日的9:00至11:30、13:00至20:00,交易方式:竞买成交,时间:每个交易日的9:00至10:00,key:卖方提交竞买发起申报时间,时间:10:00至11:30,key:应价方提交应价申报时间
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 债券现券交易实行当日回转交易，投资者当日买入的债券可以在当日卖出。
</s><s>Assistant: 交易品种:债券现券,操作:实行,操作部分:当日回转交易,操作人:投资者,操作部分:当日买入的债券,结果:可以,时间:当日,操作:卖出
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 经纪客户委托会员申报并达成债券交易的，应当及时向会员交付相应的债券或者资金。
</s><s>Assistant: 操作人:经纪客户,事件:委托会员申报,事件:达成债券交易,操作人:会员,操作:交付,操作部分:相应的债券,or:或者,操作部分:资金
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 经纪客户可以撤销委托的未成交部分。
</s><s>Assistant: 操作人:经纪客户,结果:可以,操作:撤销,操作部分:委托的未成交部分
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 委托指令被撤销和失效的，会员应当在确认后及时向经纪客户返还相应的资金或者债券。
</s><s>Assistant: 事件:委托指令被撤销和失效,操作人:会员,事件:确认后,操作人:经纪客户,操作:返还,操作部分:相应的资金,or:或者,操作部分:债券
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 本所交易系统在本规则第3.1.5条规定的交易时间内，接受相应的债券交易申报。
</s><s>Assistant: 系统:本所交易系统,结合规则:本规则第3.1.5条,操作:接受,操作部分:债券交易申报
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 会员应当按照接收经纪客户委托的时间先后顺序及时向本所申报。
</s><s>Assistant: 操作人:会员,事件:接收经纪客户委托,value:时间先后顺序,系统:本所,操作:申报
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 买卖申报和撤销申报经本所交易系统确认后方为有效。
</s><s>Assistant: 操作:买卖申报,操作:撤销申报,事件:本所交易系统确认后,结果:有效
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
